area_type,availability,location,size(BHK),total_sqft,bath,balcony,price,price_per_sqft
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1.0,552.0,1.0,1.0,23.5,4257.246376811594
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1200.0,2.0,2.0,51.0,4250.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1030.0,2.0,2.0,57.0,5533.980582524272
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1200.0,2.0,1.0,68.0,5666.666666666667
Built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1190.0,2.0,2.0,61.8,5193.27731092437
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1080.0,2.0,1.0,53.0,4907.407407407408
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1041.0,2.0,2.0,54.0,5187.319884726225
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,812.0,2.0,1.0,42.0,5172.413793103448
Built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1010.0,2.0,2.0,57.0,5643.564356435643
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1192.0,2.0,2.0,74.0,6208.053691275168
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1180.0,2.0,3.0,80.0,6779.661016949152
Built-up  Area,Ready To Move,6th Phase JP Nagar,3.0,1645.0,3.0,3.0,100.0,6079.0273556231
Built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1140.0,2.0,2.0,65.0,5701.754385964912
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1213.0,2.0,1.0,63.0,5193.734542456719
Built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1216.0,2.0,2.0,60.0,4934.210526315789
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1460.0,2.0,2.0,80.0,5479.45205479452
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3.0,1810.0,3.0,3.0,131.0,7237.56906077348
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3.0,1515.0,2.0,2.0,135.0,8910.89108910891
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1192.0,2.0,3.0,75.0,6291.946308724832
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1280.0,2.0,1.0,88.0,6875.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1080.0,2.0,2.0,72.0,6666.666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1270.0,2.0,2.0,93.0,7322.834645669292
Built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1420.0,2.0,1.0,100.0,7042.2535211267605
Built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1850.0,3.0,1.0,150.0,8108.108108108108
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1245.0,2.0,1.0,94.0,7550.2008032128515
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1175.0,2.0,1.0,82.0,6978.723404255319
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1400.0,2.0,1.0,95.0,6785.714285714285
Super built-up  Area,Under Construction,7th Phase JP Nagar,3.0,2225.0,3.0,1.0,160.0,7191.011235955056
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1050.0,2.0,1.0,71.0,6761.9047619047615
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,918.0,2.0,1.0,50.49,5500.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1450.0,2.0,1.0,100.0,6896.551724137931
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1420.0,2.0,2.0,96.0,6760.56338028169
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1680.0,3.0,2.0,120.0,7142.857142857143
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,980.0,2.0,2.0,69.0,7040.816326530612
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1180.0,2.0,2.0,72.0,6101.6949152542375
Built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1400.0,3.0,1.0,115.0,8214.285714285714
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1270.0,2.0,1.0,83.0,6535.433070866142
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1575.0,2.0,2.0,110.0,6984.126984126984
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1850.0,3.0,2.0,140.0,7567.567567567567
Built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1575.0,2.0,2.0,120.0,7619.047619047619
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1850.0,3.0,2.0,150.0,8108.108108108108
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1175.0,2.0,2.0,82.5,7021.276595744681
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1215.0,2.0,2.0,90.0,7407.407407407408
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1050.0,2.0,1.0,75.0,7142.857142857143
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1300.0,3.0,2.0,89.13,6856.153846153846
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1130.0,2.0,2.0,73.0,6460.1769911504425
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1450.0,3.0,2.0,100.0,6896.551724137931
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1050.0,2.0,1.0,50.0,4761.9047619047615
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1275.0,2.0,1.0,87.0,6823.529411764706
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1650.0,3.0,2.0,110.0,6666.666666666667
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,850.0,2.0,2.0,42.0,4941.176470588235
Built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1680.0,3.0,2.0,117.0,6964.285714285715
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1850.0,3.0,1.0,150.0,8108.108108108108
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1236.0,2.0,2.0,61.33,4961.974110032363
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1000.0,2.0,2.0,53.0,5300.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1680.0,3.0,2.0,125.0,7440.476190476191
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1675.0,2.0,2.0,135.0,8059.701492537313
Super built-up  Area,Under Construction,7th Phase JP Nagar,2.0,1187.0,2.0,1.0,59.0,4970.513900589722
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1850.0,3.0,2.0,155.0,8378.378378378378
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1000.0,2.0,1.0,61.0,6100.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1460.0,2.0,2.0,100.0,6849.315068493151
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1650.0,3.0,3.0,110.0,6666.666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1200.0,2.0,2.0,62.5,5208.333333333333
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1000.0,2.0,1.0,70.65,7065.000000000001
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1080.0,2.0,2.0,75.0,6944.444444444444
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1680.0,3.0,3.0,125.0,7440.476190476191
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1460.0,2.0,1.0,97.0,6643.835616438356
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1120.0,2.0,2.0,65.0,5803.571428571428
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1100.0,3.0,1.0,60.0,5454.545454545455
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1790.0,3.0,3.0,120.0,6703.91061452514
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1680.0,3.0,2.0,117.0,6964.285714285715
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1050.0,2.0,1.0,77.0,7333.333333333333
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1040.0,2.0,1.0,75.0,7211.538461538462
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1800.0,3.0,2.0,130.0,7222.222222222223
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1050.0,2.0,0.0,68.0,6476.190476190476
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1000.0,2.0,2.0,60.0,6000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,980.0,2.0,1.0,86.0,8775.510204081633
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1050.0,2.0,1.0,77.47,7378.0952380952385
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1270.0,2.0,1.0,80.0,6299.212598425197
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1680.0,3.0,2.0,122.0,7261.9047619047615
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1130.0,2.0,2.0,85.0,7522.123893805309
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1680.0,3.0,3.0,130.0,7738.0952380952385
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,980.0,2.0,1.0,77.44,7902.040816326531
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1680.0,3.0,2.0,112.0,6666.666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,2095.0,3.0,2.0,150.0,7159.904534606205
Super built-up  Area,Under Construction,7th Phase JP Nagar,3.0,1976.0,3.0,1.0,145.0,7338.056680161943
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1600.0,2.0,2.0,110.0,6875.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1765.0,3.0,2.0,118.0,6685.552407932011
Built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1275.0,2.0,2.0,88.0,6901.9607843137255
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1450.0,2.0,1.0,102.0,7034.482758620689
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1.0,750.0,1.0,2.0,47.0,6266.666666666667
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,990.0,2.0,2.0,50.0,5050.50505050505
Plot  Area,Ready To Move,7th Phase JP Nagar,1.0,1000.0,1.0,1.0,60.0,6000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1430.0,2.0,1.0,102.0,7132.867132867133
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1128.0,2.0,1.0,60.0,5319.148936170212
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1140.0,2.0,1.0,57.0,5000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1530.0,2.0,1.0,108.0,7058.823529411765
Super built-up  Area,Under Construction,8th Phase JP Nagar,2.0,1073.5,2.0,0.0,54.005,5030.740568234746
Super built-up  Area,Under Construction,8th Phase JP Nagar,1.0,451.0,1.0,0.0,29.9,6629.711751662971
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1062.0,2.0,1.0,42.47,3999.058380414313
Super built-up  Area,Under Construction,8th Phase JP Nagar,3.0,1455.0,3.0,2.0,73.31,5038.487972508591
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,871.0,2.0,2.0,55.0,6314.580941446613
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1098.0,2.0,1.0,43.91,3999.089253187614
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3.0,1800.0,3.0,1.0,80.0,4444.444444444444
Super built-up  Area,Under Construction,8th Phase JP Nagar,2.0,1080.0,2.0,2.0,38.0,3518.5185185185187
Super built-up  Area,Under Construction,8th Phase JP Nagar,2.0,1059.0,2.0,2.0,34.5,3257.790368271955
Super built-up  Area,Under Construction,8th Phase JP Nagar,2.0,1080.0,2.0,2.0,35.0,3240.740740740741
Super built-up  Area,Under Construction,8th Phase JP Nagar,1.0,500.0,1.0,1.0,31.0,6200.0
Super built-up  Area,Under Construction,8th Phase JP Nagar,2.0,1100.0,2.0,2.0,35.0,3181.818181818182
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4.0,2100.0,4.0,3.0,92.0,4380.952380952381
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1035.0,2.0,1.0,39.33,3800.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,909.0,2.0,1.0,40.9,4499.4499449945
Super built-up  Area,Under Construction,8th Phase JP Nagar,3.0,1431.5,3.0,0.0,72.02,5031.086273140063
Built-up  Area,Ready To Move,8th Phase JP Nagar,3.0,1900.0,4.0,1.0,90.0,4736.8421052631575
Super built-up  Area,Under Construction,8th Phase JP Nagar,1.0,500.0,1.0,1.0,30.0,6000.0
Super built-up  Area,Under Construction,8th Phase JP Nagar,2.0,1125.0,2.0,2.0,36.94,3283.555555555556
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1100.0,2.0,3.0,35.0,3181.818181818182
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1089.0,2.0,1.0,43.55,3999.0817263544536
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3.0,1504.0,2.0,2.0,83.0,5518.617021276596
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1089.0,2.0,1.0,43.55,3999.0817263544536
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1513.0,2.0,3.0,62.0,4097.818902842036
Built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1298.0,2.0,1.0,59.0,4545.454545454545
Built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1006.0,2.0,0.0,44.0,4373.75745526839
Carpet  Area,Under Construction,8th Phase JP Nagar,1.0,500.0,1.0,1.0,33.0,6600.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1160.0,2.0,1.0,95.0,8189.6551724137935
Super built-up  Area,Under Construction,8th Phase JP Nagar,2.0,1245.0,2.0,1.0,59.0,4738.955823293173
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1510.0,2.0,3.0,80.0,5298.013245033113
Super built-up  Area,Under Construction,8th Phase JP Nagar,2.0,1046.0,2.0,1.0,48.0,4588.910133843212
Super built-up  Area,Under Construction,8th Phase JP Nagar,3.0,1408.0,3.0,2.0,80.0,5681.818181818182
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1005.0,2.0,1.0,50.0,4975.124378109453
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1100.0,2.0,1.0,65.0,5909.090909090909
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1080.0,2.0,2.0,37.0,3425.925925925926
Built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1035.0,2.0,1.0,45.0,4347.826086956522
Built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1164.0,2.0,1.0,56.0,4810.996563573884
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1005.0,2.0,1.0,42.0,4179.104477611941
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1127.0,2.0,1.0,50.0,4436.557231588287
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1005.0,2.0,1.0,43.0,4278.606965174129
Built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,835.0,2.0,0.0,37.0,4431.137724550898
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1050.0,2.0,2.0,39.0,3714.285714285714
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,660.0,2.0,0.0,27.0,4090.909090909091
Built-up  Area,Ready To Move,9th Phase JP Nagar,1.0,600.0,1.0,0.0,20.0,3333.333333333333
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1466.0,2.0,2.0,71.0,4843.110504774898
Built-up  Area,Ready To Move,9th Phase JP Nagar,3.0,1890.0,2.0,2.0,93.0,4920.6349206349205
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1079.0,2.0,1.0,60.0,5560.704355885079
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1480.0,2.0,1.0,80.0,5405.405405405405
Plot  Area,Ready To Move,9th Phase JP Nagar,2.0,1200.0,2.0,0.0,80.0,6666.666666666667
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,905.0,2.0,1.0,32.0,3535.9116022099447
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1073.0,2.0,1.0,52.36,4879.77632805219
Super built-up  Area,Ready To Move,9th Phase JP Nagar,3.0,1719.3,2.0,2.0,88.0,5118.362124120282
Super built-up  Area,Under Construction,9th Phase JP Nagar,3.0,1780.0,3.0,2.0,88.0,4943.820224719101
Super built-up  Area,Under Construction,9th Phase JP Nagar,3.0,1522.0,3.0,2.0,90.0,5913.272010512484
Built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,890.0,2.0,2.0,45.0,5056.179775280899
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1050.0,2.0,2.0,35.0,3333.333333333333
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1331.95,2.0,2.0,69.0,5180.374638687638
Super built-up  Area,Ready To Move,AECS Layout,2.0,1100.0,2.0,3.0,45.0,4090.909090909091
Super built-up  Area,Ready To Move,AECS Layout,2.0,1028.0,2.0,1.0,42.0,4085.603112840467
Super built-up  Area,Ready To Move,AECS Layout,2.0,1199.0,2.0,2.0,65.0,5421.184320266889
Super built-up  Area,Ready To Move,AECS Layout,2.0,1080.0,2.0,2.0,55.0,5092.592592592592
Super built-up  Area,Ready To Move,AECS Layout,2.0,1123.0,2.0,2.0,64.0,5699.020480854853
Super built-up  Area,Ready To Move,AECS Layout,2.0,1308.0,2.0,1.0,60.0,4587.155963302752
Super built-up  Area,Ready To Move,AECS Layout,2.0,1005.0,2.0,1.0,55.0,5472.636815920398
Super built-up  Area,Ready To Move,Abbigere,2.0,985.0,2.0,1.0,40.39,4100.507614213198
Super built-up  Area,Ready To Move,Abbigere,1.0,765.0,2.0,2.0,30.0,3921.56862745098
Super built-up  Area,Under Construction,Abbigere,2.0,880.0,2.0,1.0,35.0,3977.272727272728
Super built-up  Area,Ready To Move,Abbigere,2.0,795.0,2.0,1.0,32.54,4093.0817610062895
Super built-up  Area,Ready To Move,Abbigere,2.0,1005.0,2.0,1.0,39.59,3939.303482587065
Super built-up  Area,Under Construction,Abbigere,1.0,734.0,1.0,0.0,19.82,2700.272479564033
Super built-up  Area,Ready To Move,Abbigere,2.0,1020.0,2.0,1.0,41.82,4100.0
Super built-up  Area,Ready To Move,Abbigere,2.0,1130.0,2.0,1.0,46.33,4100.0
Super built-up  Area,Ready To Move,Abbigere,2.0,795.0,1.0,1.0,32.6,4100.62893081761
Super built-up  Area,Ready To Move,Abbigere,2.0,985.0,2.0,1.0,38.92,3951.269035532995
Super built-up  Area,Ready To Move,Abbigere,2.0,1000.0,2.0,1.0,41.0,4100.0
Super built-up  Area,Ready To Move,Abbigere,2.0,995.0,2.0,1.0,40.8,4100.5025125628135
Super built-up  Area,Ready To Move,Abbigere,2.0,1020.0,2.0,1.0,40.8,4000.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1388.0,2.0,3.0,57.0,4106.628242074928
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1070.0,2.0,1.0,54.0,5046.728971962617
Built-up  Area,Ready To Move,Akshaya Nagar,2.0,1280.0,2.0,2.0,58.0,4531.25
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,1662.0,3.0,3.0,85.1,5120.336943441636
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1897.0,3.0,2.0,120.0,6325.77754348972
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1410.0,2.0,2.0,75.0,5319.148936170212
Super built-up  Area,Under Construction,Akshaya Nagar,3.0,1360.0,2.0,2.0,85.0,6250.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1410.0,2.0,2.0,80.0,5673.758865248227
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,1662.0,3.0,2.0,85.0,5114.320096269555
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,1662.0,3.0,2.0,85.5,5144.404332129964
Built-up  Area,Ready To Move,Akshaya Nagar,2.0,1280.0,2.0,1.0,60.0,4687.5
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,1666.0,3.0,2.0,95.0,5702.280912364946
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1575.0,3.0,2.0,90.0,5714.285714285715
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1430.0,2.0,2.0,75.0,5244.755244755244
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,1419.0,2.0,3.0,73.0,5144.46793516561
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1280.0,2.0,1.0,60.0,4687.5
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1200.0,2.0,1.0,50.0,4166.666666666667
Super built-up  Area,Under Construction,Akshaya Nagar,2.0,1092.0,2.0,1.0,60.0,5494.505494505494
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1690.0,3.0,2.0,85.0,5029.585798816568
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1897.0,4.0,2.0,93.0,4902.477596204533
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1884.0,3.0,3.0,98.0,5201.698513800425
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1314.0,2.0,2.0,68.8,5235.920852359209
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1690.0,3.0,2.0,85.0,5029.585798816568
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1265.0,2.0,3.0,67.0,5296.442687747036
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1126.0,2.0,1.0,55.0,4884.547069271758
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1662.0,3.0,2.0,90.0,5415.162454873646
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1420.0,2.0,2.0,75.0,5281.69014084507
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1412.0,2.0,3.0,88.0,6232.294617563739
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,1434.0,3.0,3.0,84.0,5857.740585774059
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1890.0,4.0,2.0,100.0,5291.005291005291
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1419.0,2.0,3.0,87.0,6131.07822410148
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1300.0,2.0,1.0,54.0,4153.846153846154
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1113.0,2.0,1.0,52.0,4672.057502246182
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1820.0,4.0,2.0,95.0,5219.780219780219
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1100.0,2.0,2.0,48.0,4363.636363636364
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1896.0,3.0,2.0,102.0,5379.7468354430375
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1300.0,2.0,2.0,66.0,5076.923076923077
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1225.0,2.0,0.0,68.0,5551.0204081632655
Super built-up  Area,Ready To Move,Akshaya Nagar,2.0,1179.0,2.0,1.0,51.0,4325.699745547074
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1421.0,2.0,2.0,73.0,5137.227304714989
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1893.0,4.0,2.0,95.0,5018.489170628632
Built-up  Area,Ready To Move,Akshaya Nagar,2.0,900.0,2.0,1.0,45.0,5000.0
Super built-up  Area,Ready To Move,Ambalipura,2.0,1105.0,2.0,1.0,75.0,6787.330316742082
Super built-up  Area,Ready To Move,Ambalipura,3.0,1800.0,3.0,3.0,110.0,6111.111111111111
Built-up  Area,Ready To Move,Ambalipura,2.0,1150.0,2.0,2.0,80.0,6956.521739130435
Super built-up  Area,Ready To Move,Ambalipura,2.0,1250.0,2.0,2.0,66.25,5300.0
Super built-up  Area,Ready To Move,Ambalipura,2.0,1332.0,2.0,1.0,79.0,5930.930930930931
Super built-up  Area,Ready To Move,Ambalipura,3.0,1730.0,3.0,1.0,120.0,6936.416184971098
Super built-up  Area,Ready To Move,Ambalipura,2.0,1230.0,2.0,2.0,66.25,5386.178861788618
Super built-up  Area,Ready To Move,Ambalipura,2.0,1351.0,2.0,1.0,77.0,5699.481865284974
Super built-up  Area,Ready To Move,Ambalipura,2.0,1303.0,2.0,2.0,80.0,6139.677666922486
