area_type,availability,location,size(BHK),total_sqft,bath,balcony,price,price_per_sqft
Super built-up  Area,Ready To Move,Garudachar Palya,3.0,1325.0,2.0,2.0,60.8,0.045886792452830186
Super built-up  Area,Ready To Move,EPIP Zone,3.0,1499.0,5.0,2.0,102.0,0.06804536357571714
Built-up  Area,Ready To Move,Hegde Nagar,6.0,3000.0,7.0,2.0,210.0,0.07
Super built-up  Area,Ready To Move,Kanakpura Road,3.0,1665.0,3.0,2.0,88.0,0.05285285285285285
Super built-up  Area,Under Construction,Dasanapura,2.0,708.0,2.0,2.0,37.0,0.052259887005649715
Super built-up  Area,Ready To Move,Kasavanhalli,2.0,1060.0,2.0,2.0,58.06,0.05477358490566038
Plot  Area,Ready To Move,Rajaji Nagar,6.0,710.0,6.0,3.0,160.0,0.22535211267605634
Built-up  Area,Ready To Move,Sanjay nagar,2.0,1000.0,2.0,2.0,70.0,0.07
Super built-up  Area,Under Construction,Electronic City,2.0,1000.0,2.0,1.0,28.88,0.02888
Super built-up  Area,Ready To Move,Other,3.0,1450.0,2.0,2.0,70.0,0.04827586206896552
Plot  Area,Ready To Move,ISRO Layout,4.0,1200.0,4.0,2.0,155.0,0.12916666666666668
Super built-up  Area,Under Construction,Thanisandra,2.0,1296.0,2.0,3.0,80.0,0.06172839506172839
Super built-up  Area,Ready To Move,Domlur,3.0,1540.0,3.0,2.0,90.0,0.05844155844155844
Plot  Area,Ready To Move,Kengeri,4.0,2894.0,4.0,1.0,245.0,0.08465791292328956
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3.0,1330.0,2.0,1.0,48.0,0.03609022556390978
Built-up  Area,Ready To Move,Other,2.0,1200.0,2.0,1.0,65.0,0.05416666666666667
Built-up  Area,Ready To Move,Other,3.0,1200.0,3.0,1.0,90.0,0.075
Super built-up  Area,Ready To Move,Yeshwanthpur,3.0,2502.0,3.0,3.0,138.0,0.05515587529976019
Built-up  Area,Ready To Move,Chandapura,2.0,650.0,1.0,1.0,17.0,0.026153846153846153
Plot  Area,Ready To Move,Kothanur,3.0,2400.0,2.0,1.0,150.0,0.0625
Super built-up  Area,Ready To Move,Other,2.0,1007.0,2.0,2.0,43.0,0.04270109235352532
Super built-up  Area,Ready To Move,Other,2.0,1200.0,2.0,2.0,50.0,0.041666666666666664
Super built-up  Area,Ready To Move,Other,2.0,966.0,2.0,2.0,49.9,0.05165631469979296
Built-up  Area,Ready To Move,Nagarbhavi,3.0,1630.0,2.0,1.0,98.0,0.06012269938650307
Built-up  Area,Ready To Move,Rajaji Nagar,3.0,1640.0,3.0,2.0,229.0,0.13963414634146343
Built-up  Area,Ready To Move,Other,2.0,782.0,2.0,2.0,55.68,0.07120204603580563
Super built-up  Area,Under Construction,Devanahalli,2.0,1260.0,2.0,2.0,66.78,0.053
Super built-up  Area,Ready To Move,Other,3.0,1800.0,3.0,3.0,120.0,0.06666666666666667
Super built-up  Area,Ready To Move,Other,3.0,1413.0,2.0,2.0,75.0,0.05307855626326964
Super built-up  Area,Ready To Move,Whitefield,2.0,1116.0,2.0,1.0,51.91,0.046514336917562724
Super built-up  Area,Ready To Move,Electronic City,3.0,1530.0,2.0,1.0,45.9,0.03
Built-up  Area,Ready To Move,Ramamurthy Nagar,4.0,3700.0,4.0,1.0,225.0,0.060810810810810814
Built-up  Area,Ready To Move,Sarjapur  Road,3.0,2497.0,3.0,2.0,140.0,0.05606728073688426
Super built-up  Area,Ready To Move,Kengeri,3.0,1540.0,2.0,3.0,64.0,0.04155844155844156
Super built-up  Area,Under Construction,Thanisandra,3.0,1436.0,3.0,1.0,74.75,0.052054317548746516
Super built-up  Area,Under Construction,Malleshwaram,2.0,1100.0,2.0,2.0,75.0,0.06818181818181818
Plot  Area,Ready To Move,Hennur Road,2.0,276.0,3.0,3.0,23.0,0.08333333333333333
Super built-up  Area,Ready To Move,Thanisandra,3.0,1427.0,3.0,2.0,120.0,0.08409250175192712
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,2061.0,3.0,1.0,200.0,0.09704027171276079
Super built-up  Area,Under Construction,Hebbal,4.0,5611.5,4.0,0.0,477.0,0.08500400962309543
Built-up  Area,Ready To Move,Shampura,4.0,2650.0,4.0,2.0,150.0,0.05660377358490566
Super built-up  Area,Under Construction,Devanahalli,3.0,1282.0,2.0,2.0,68.52,0.05344773790951638
Built-up  Area,Ready To Move,Kadugodi,2.0,1050.0,2.0,1.0,34.0,0.03238095238095238
Built-up  Area,Ready To Move,LB Shastri Nagar,3.0,1600.0,3.0,2.0,65.0,0.040625
Super built-up  Area,Under Construction,Other,2.0,945.0,2.0,1.0,54.0,0.05714285714285714
Super built-up  Area,Ready To Move,Hormavu,2.0,1500.0,2.0,1.0,78.0,0.052
Plot  Area,Ready To Move,Vishwapriya Layout,7.0,950.0,7.0,0.0,115.0,0.12105263157894737
Built-up  Area,Ready To Move,Other,3.0,1870.0,3.0,3.0,110.0,0.058823529411764705
Plot  Area,Ready To Move,Sarjapur,3.0,1600.0,3.0,1.0,75.0,0.046875
Super built-up  Area,Ready To Move,Electronic City,2.0,880.0,1.0,1.0,16.5,0.01875
Plot  Area,Ready To Move,Other,4.0,1200.0,4.0,0.0,210.0,0.175
Super built-up  Area,Ready To Move,Kudlu Gate,3.0,1535.0,3.0,2.0,83.0,0.054071661237785014
Built-up  Area,Ready To Move,Kanakpura Road,2.0,950.0,2.0,1.0,57.0,0.06
Super built-up  Area,Under Construction,Devanahalli,2.0,1360.0,2.0,1.0,65.0,0.04779411764705882
Super built-up  Area,Under Construction,8th Phase JP Nagar,2.0,1073.5,2.0,0.0,54.005,0.05030740568234746
Super built-up  Area,Under Construction,Bommasandra Industrial Area,3.0,1280.0,3.0,1.0,50.4,0.039375
Super built-up  Area,Under Construction,Other,3.0,1260.0,2.0,2.0,85.05,0.0675
Built-up  Area,Ready To Move,Hennur Road,8.0,5000.0,8.0,2.0,250.0,0.05
Super built-up  Area,Under Construction,Yelahanka,5.0,3050.0,5.0,1.0,213.0,0.06983606557377049
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,1563.05,3.0,1.0,105.0,0.06717635392341896
Super built-up  Area,Ready To Move,ISRO Layout,2.0,1000.0,2.0,1.0,60.0,0.06
Super built-up  Area,Under Construction,Anandapura,2.0,1167.0,2.0,1.0,43.76,0.037497857754927165
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7.0,4000.0,7.0,2.0,225.0,0.05625
Super built-up  Area,Ready To Move,Kothanur,3.0,1828.0,3.0,2.0,110.0,0.060175054704595186
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2.0,890.0,2.0,1.0,35.0,0.03932584269662921
Super built-up  Area,Ready To Move,Other,3.0,1612.0,3.0,3.0,46.74,0.028995037220843674
Plot  Area,Ready To Move,Other,6.0,1034.0,5.0,2.0,185.0,0.17891682785299806
Super built-up  Area,Under Construction,Mysore Road,3.0,1710.0,4.0,2.0,91.31,0.05339766081871345
Super built-up  Area,Ready To Move,Kannamangala,2.0,957.0,2.0,1.0,58.0,0.06060606060606061
Super built-up  Area,Under Construction,Devarachikkanahalli,3.0,1250.0,2.0,3.0,44.0,0.0352
Super built-up  Area,Ready To Move,Other,3.0,2795.0,4.0,2.0,235.0,0.08407871198568873
Super built-up  Area,Ready To Move,Hulimavu,2.0,1125.0,2.0,2.0,50.0,0.044444444444444446
Super built-up  Area,Under Construction,Electronic City Phase II,2.0,1020.0,2.0,1.0,30.6,0.030000000000000002
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,1200.0,2.0,2.0,50.0,0.041666666666666664
Super built-up  Area,Ready To Move,Thanisandra,3.0,1735.0,3.0,3.0,135.0,0.07780979827089338
Super built-up  Area,Ready To Move,Thanisandra,3.0,2050.0,3.0,1.0,145.0,0.07073170731707316
Plot  Area,Ready To Move,Mahalakshmi Layout,4.0,3750.0,4.0,0.0,760.0,0.20266666666666666
Built-up  Area,Ready To Move,Other,3.0,1350.0,2.0,3.0,48.0,0.035555555555555556
Super built-up  Area,Under Construction,Hosa Road,2.0,1063.0,2.0,1.0,32.0,0.030103480714957668
Super built-up  Area,Ready To Move,Other,3.0,1904.0,3.0,1.0,150.0,0.07878151260504201
Built-up  Area,Ready To Move,Whitefield,4.0,4200.0,4.0,2.0,420.0,0.1
Super built-up  Area,Ready To Move,Other,3.0,2000.0,3.0,1.0,175.0,0.0875
Super built-up  Area,Under Construction,Sarjapur,2.0,1242.5,2.0,0.0,43.49,0.035002012072434606
Super built-up  Area,Ready To Move,Other,3.0,1425.0,2.0,2.0,75.0,0.05263157894736842
Super built-up  Area,Ready To Move,Electronic City,3.0,1500.0,2.0,1.0,64.5,0.043
Built-up  Area,Ready To Move,Electronic City,2.0,1060.0,2.0,1.0,60.0,0.05660377358490566
Built-up  Area,Ready To Move,Other,3.0,1470.0,2.0,2.0,70.0,0.047619047619047616
Super built-up  Area,Ready To Move,Other,6.0,1300.0,6.0,0.0,99.0,0.07615384615384616
Super built-up  Area,Ready To Move,Attibele,1.0,450.0,1.0,1.0,11.0,0.024444444444444446
Super built-up  Area,Under Construction,Electronic City,2.0,1152.0,2.0,1.0,64.5,0.055989583333333336
Super built-up  Area,Ready To Move,Electronic City,3.0,1350.0,2.0,1.0,56.0,0.04148148148148148
Super built-up  Area,Ready To Move,CV Raman Nagar,3.0,1550.0,3.0,3.0,65.0,0.041935483870967745
Plot  Area,Ready To Move,Other,3.0,1500.0,3.0,2.0,100.0,0.06666666666666667
Plot  Area,Ready To Move,Kumaraswami Layout,5.0,600.0,3.0,2.0,85.0,0.14166666666666666
Plot  Area,Ready To Move,Nagavara,1.0,400.0,1.0,0.0,14.0,0.035
Super built-up  Area,Ready To Move,Malleshwaram,1.0,705.0,1.0,2.0,67.0,0.0950354609929078
Built-up  Area,Ready To Move,Electronic City,2.0,770.0,1.0,1.0,36.0,0.046753246753246755
Super built-up  Area,Ready To Move,Hulimavu,2.0,1242.0,2.0,3.0,51.0,0.04106280193236715
Super built-up  Area,Ready To Move,Hebbal Kempapura,3.0,1700.0,3.0,2.0,155.0,0.09117647058823529
Super built-up  Area,Ready To Move,Thanisandra,3.0,2144.0,3.0,2.0,145.0,0.06763059701492537
Super built-up  Area,Under Construction,Vijayanagar,3.0,1704.0,3.0,2.0,110.0,0.06455399061032864
Super built-up  Area,Ready To Move,Electronic City,2.0,1070.0,2.0,1.0,52.0,0.048598130841121495
Plot  Area,Ready To Move,Other,3.0,1846.0,3.0,2.0,300.0,0.16251354279523295
Super built-up  Area,Ready To Move,Other,2.0,1340.0,2.0,2.0,55.7,0.04156716417910448
Built-up  Area,Ready To Move,Electronic City,2.0,1025.0,2.0,1.0,46.0,0.0448780487804878
Super built-up  Area,Ready To Move,KR Puram,2.0,1277.5,2.0,0.0,56.8,0.04446183953033268
Super built-up  Area,Ready To Move,Marathahalli,2.0,1200.0,2.0,2.0,52.0,0.043333333333333335
Built-up  Area,Under Construction,Kanakpura Road,4.0,2250.0,4.0,1.0,110.0,0.04888888888888889
Super built-up  Area,Ready To Move,Other,3.0,1550.0,2.0,3.0,80.0,0.05161290322580645
Plot  Area,Ready To Move,Bellandur,4.0,1200.0,5.0,2.0,325.0,0.2708333333333333
Plot  Area,Ready To Move,Other,7.0,1800.0,7.0,1.0,250.0,0.1388888888888889
Super built-up  Area,Ready To Move,Marathahalli,2.0,1200.0,2.0,2.0,60.0,0.05
Super built-up  Area,Ready To Move,Yelahanka,2.0,1327.0,2.0,2.0,98.0,0.07385079125847777
Super built-up  Area,Ready To Move,Kothanur,2.0,1186.0,2.0,2.0,58.0,0.048903878583473864
Built-up  Area,Ready To Move,Other,3.0,1783.0,3.0,1.0,115.0,0.06449803701626472
Super built-up  Area,Ready To Move,HSR Layout,3.0,1400.0,3.0,2.0,56.0,0.04
Super built-up  Area,Ready To Move,Nagasandra,2.0,980.0,2.0,1.0,48.0,0.04897959183673469
Super built-up  Area,Ready To Move,EPIP Zone,2.0,1285.0,2.0,2.0,82.0,0.06381322957198443
Super built-up  Area,Ready To Move,Other,3.0,912.0,2.0,1.0,70.0,0.07675438596491228
Built-up  Area,Ready To Move,Whitefield,2.0,1225.0,2.0,2.0,47.6,0.03885714285714286
Super built-up  Area,Ready To Move,Whitefield,2.0,1075.0,2.0,1.0,53.0,0.04930232558139535
Built-up  Area,Ready To Move,Kadugodi,3.0,1260.0,2.0,2.0,54.0,0.04285714285714286
Super built-up  Area,Ready To Move,Yelahanka,3.0,1282.0,2.0,2.0,48.7,0.03798751950078003
Super built-up  Area,Ready To Move,Kogilu,3.0,1909.0,3.0,2.0,88.0,0.04609743321110529
Super built-up  Area,Ready To Move,Panathur,2.0,1359.0,2.0,1.0,87.0,0.0640176600441501
Built-up  Area,Ready To Move,Other,2.0,1207.0,2.0,2.0,43.5,0.03603976801988401
Plot  Area,Ready To Move,Padmanabhanagar,4.0,1736.0,6.0,0.0,190.0,0.10944700460829493
Super built-up  Area,Under Construction,1st Block Jayanagar,4.0,2850.0,4.0,1.0,428.0,0.15017543859649124
Super built-up  Area,Ready To Move,Kammasandra,3.0,1595.0,3.0,2.0,65.0,0.04075235109717868
Built-up  Area,Under Construction,Other,3.0,1798.0,3.0,2.0,89.0,0.04949944382647386
Super built-up  Area,Ready To Move,Electronics City Phase 1,3.0,1475.0,3.0,2.0,78.29,0.05307796610169492
Super built-up  Area,Ready To Move,Other,3.0,1580.0,3.0,3.0,100.0,0.06329113924050633
Super built-up  Area,Ready To Move,Dasarahalli,2.0,1295.0,2.0,1.0,65.0,0.05019305019305019
Built-up  Area,Ready To Move,Magadi Road,6.0,3600.0,6.0,0.0,141.0,0.03916666666666667
Super built-up  Area,Ready To Move,Electronic City,1.0,589.0,1.0,1.0,27.0,0.04584040747028863
Super built-up  Area,Ready To Move,Other,3.0,1415.0,3.0,3.0,78.0,0.05512367491166078
Super built-up  Area,Under Construction,Sarjapur  Road,3.0,1787.0,3.0,2.0,98.29,0.05500279798545048
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1787.0,3.0,2.0,125.0,0.06994963626189143
Super built-up  Area,Ready To Move,Koramangala,3.0,1475.0,2.0,3.0,90.0,0.061016949152542375
Built-up  Area,Ready To Move,Other,4.0,2000.0,4.0,1.0,75.5,0.03775
Super built-up  Area,Under Construction,Sarjapur  Road,2.0,984.0,2.0,1.0,44.28,0.045
Super built-up  Area,Under Construction,Devanahalli,3.0,1630.0,2.0,2.0,74.82,0.04590184049079754
Super built-up  Area,Ready To Move,Other,3.0,2405.0,4.0,2.0,260.0,0.10810810810810811
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1080.0,2.0,2.0,72.0,0.06666666666666667
Plot  Area,Ready To Move,Other,2.0,1500.0,2.0,1.0,115.0,0.07666666666666666
Super built-up  Area,Ready To Move,Hebbal,3.0,1900.0,3.0,2.0,119.0,0.06263157894736843
Super built-up  Area,Under Construction,Dommasandra,2.0,805.0,2.0,1.0,22.14,0.027503105590062114
Super built-up  Area,Ready To Move,Budigere,2.0,1153.0,2.0,2.0,56.4,0.04891587163920208
Super built-up  Area,Ready To Move,Other,2.0,1148.0,2.0,2.0,60.0,0.05226480836236934
Super built-up  Area,Ready To Move,Other,2.0,1110.0,2.0,2.0,55.0,0.04954954954954955
Built-up  Area,Ready To Move,Electronic City,2.0,1100.0,2.0,2.0,42.0,0.038181818181818185
Super built-up  Area,Ready To Move,Kalyan nagar,2.0,1290.0,2.0,2.0,110.0,0.08527131782945736
Super built-up  Area,Ready To Move,Other,3.0,1500.0,2.0,1.0,65.0,0.043333333333333335
Super built-up  Area,Under Construction,Other,2.0,1080.0,2.0,2.0,39.0,0.03611111111111111
Super built-up  Area,Under Construction,Vijayanagar,3.0,1933.0,3.0,1.0,129.0,0.06673564407656493
Built-up  Area,Ready To Move,Ramamurthy Nagar,5.0,3500.0,5.0,2.0,150.0,0.04285714285714286
Built-up  Area,Ready To Move,Other,2.0,1060.0,2.0,2.0,60.0,0.05660377358490566
Super built-up  Area,Under Construction,Chandapura,1.0,645.0,1.0,1.0,16.45,0.025503875968992246
Plot  Area,Ready To Move,Other,8.0,2600.0,8.0,2.0,180.0,0.06923076923076923
Super built-up  Area,Under Construction,Chandapura,1.0,645.0,1.0,1.0,16.45,0.025503875968992246
Super built-up  Area,Ready To Move,Other,3.0,1644.0,3.0,3.0,84.0,0.051094890510948905
Super built-up  Area,Ready To Move,Other,2.0,1285.0,2.0,3.0,72.5,0.05642023346303502
Plot  Area,Ready To Move,Electronic City,3.0,1200.0,3.0,1.0,90.0,0.075
Super built-up  Area,Ready To Move,Electronic City,2.0,910.0,2.0,1.0,40.0,0.04395604395604396
Super built-up  Area,Ready To Move,Kothanur,3.0,1577.0,3.0,1.0,70.0,0.04438807863031072
Plot  Area,Under Construction,Other,3.0,4050.0,3.0,2.0,280.0,0.0691358024691358
Super built-up  Area,Ready To Move,OMBR Layout,3.0,2420.0,3.0,2.0,185.0,0.07644628099173553
Super built-up  Area,Ready To Move,Chandapura,2.0,800.0,1.0,1.0,20.0,0.025
Built-up  Area,Ready To Move,Other,2.0,1060.0,2.0,2.0,55.0,0.05188679245283019
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1270.0,2.0,2.0,93.0,0.07322834645669292
Super built-up  Area,Under Construction,Other,2.0,900.0,2.0,2.0,22.5,0.025
Built-up  Area,Ready To Move,Other,2.0,1280.0,2.0,1.0,69.0,0.05390625
Plot  Area,Ready To Move,Horamavu Agara,4.0,1200.0,2.0,0.0,95.0,0.07916666666666666
Built-up  Area,Ready To Move,Sarjapur  Road,2.0,1025.0,2.0,2.0,36.0,0.0351219512195122
Super built-up  Area,Under Construction,Electronic City,2.0,1108.0,2.0,1.0,63.0,0.05685920577617329
Plot  Area,Ready To Move,Other,5.0,1200.0,5.0,2.0,170.0,0.14166666666666666
Super built-up  Area,Ready To Move,Other,3.0,3045.0,3.0,2.0,170.0,0.05582922824302135
Plot  Area,Ready To Move,Ambedkar Nagar,4.0,2900.0,3.0,2.0,300.0,0.10344827586206896
Super built-up  Area,Ready To Move,Vijayanagar,3.0,1500.0,3.0,2.0,75.5,0.050333333333333334
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1295.0,2.0,2.0,43.9,0.0338996138996139
Super built-up  Area,Ready To Move,Budigere,2.0,1162.0,2.0,1.0,59.9,0.05154905335628227
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,1035.0,2.0,2.0,49.2,0.04753623188405797
Built-up  Area,Ready To Move,Attibele,4.0,1600.0,4.0,0.0,52.8,0.033
Super built-up  Area,Ready To Move,Other,3.0,1464.0,3.0,2.0,46.0,0.031420765027322405
Super built-up  Area,Under Construction,Hennur Road,3.0,1866.0,2.0,2.0,61.58,0.0330010718113612
Super built-up  Area,Ready To Move,Other,2.0,700.0,1.0,1.0,26.0,0.037142857142857144
Super built-up  Area,Ready To Move,Kalena Agrahara,3.0,1804.0,3.0,2.0,120.0,0.06651884700665188
Super built-up  Area,Ready To Move,Sarjapur,2.0,913.0,2.0,1.0,32.0,0.03504928806133625
